ClientID,Tenure,MonthlyCharges,TotalCharges,Gender,Churn
1,39,46.62,1041.37,Female,Yes
2,52,84.33,4894.43,Female,No
3,29,29.83,4498.19,Male,Yes
4,15,21.23,2030.8,Male,No
5,43,69.84,1264.5,Male,Yes
6,8,66.15,1317.44,Male,Yes
7,21,39.15,4929.06,Male,No
8,39,48.66,5619.92,Male,Yes
9,58,23.07,3788.8,Male,No
10,19,99.78,2130.64,Male,Yes
11,23,50.13,5881.03,Female,No
12,11,41.95,2229.02,Male,Yes
13,11,100.47,4327.45,Male,No
14,24,23.93,5565.75,Female,Yes
15,53,48.45,4518.73,Female,Yes
16,36,46.28,5541.62,Male,Yes
17,40,46.3,1855.36,Female,Yes
18,24,21.15,2388.86,Male,No
19,3,113.47,4223.96,Male,No
20,22,106.41,3190.12,Female,No
21,53,61.45,1507.89,Female,Yes
22,2,64.54,4639.11,Female,Yes
23,24,72.42,2383.77,Male,Yes
24,44,67.83,5444.7,Female,Yes
25,30,97.91,4540.29,Female,Yes
26,38,68.84,2343.38,Female,Yes
27,2,38.88,3176.42,Male,Yes
28,21,31.7,5667.82,Female,Yes
29,33,111.83,3718.63,Female,No
30,12,24.84,4653.64,Female,Yes
31,58,109.76,5766.25,Male,No
32,22,89.05,4769.77,Male,Yes
33,44,60.47,728.23,Female,Yes
34,25,38.72,1910.03,Male,Yes
35,49,51.05,2034.88,Male,Yes
36,27,72.99,3402.84,Male,No
37,59,85.69,2487.66,Female,No
38,42,89.15,3884.07,Female,No
39,28,64.73,5567.6,Female,No
40,16,57.4,4566.73,Male,Yes
41,15,96.83,528.02,Female,Yes
42,47,112.54,5711.01,Female,No
43,51,111.45,1513.69,Male,No
44,44,75.16,2442.14,Male,Yes
45,55,27.9,867.72,Male,Yes
46,52,27.33,1459.15,Female,Yes
47,57,60.28,5684.84,Male,No
48,3,93.29,3765.84,Female,No
49,37,69.73,1785.68,Male,Yes
50,51,82.74,1529.99,Male,Yes
51,7,104.33,5209.88,Male,Yes
52,21,24.03,1189.48,Male,No
53,9,112.38,2414.84,Male,No
54,39,53.09,2667.69,Female,No
55,18,24.68,909.78,Male,Yes
56,4,103.54,2768.76,Female,No
57,25,113.42,4815.6,Female,No
58,14,96.86,4795.8,Female,Yes
59,50,100.45,1551.2,Female,No
60,58,107.13,4670.5,Female,Yes
61,9,72.24,2011.41,Female,Yes
62,26,88.05,4479.67,Female,Yes
63,53,48.65,4378.11,Female,Yes
64,2,44.97,5119.09,Male,Yes
65,20,80.89,5933.53,Female,No
66,28,93.46,1030.04,Female,No
67,47,59.71,1905.16,Female,Yes
68,7,60.03,3911.52,Female,Yes
69,44,115.42,3495.37,Female,No
70,8,71.85,5085.87,Male,Yes
71,47,118.63,1058.1,Male,No
72,35,106.28,3184.76,Female,Yes
73,14,83.97,2421.13,Male,No
74,17,20.91,902.16,Female,Yes
75,36,49.59,4601.49,Male,Yes
76,50,61.76,3084.29,Male,Yes
77,40,85.28,874.77,Female,No
78,4,59.55,543.86,Female,Yes
79,2,102.78,630.11,Male,No
80,6,86.29,2665.87,Female,Yes
81,54,54.72,5484.18,Male,Yes
82,42,98.44,1891.48,Male,Yes
83,4,50.31,1232.37,Male,No
84,54,26.28,3694.28,Female,No
85,29,37.26,3102.63,Female,Yes
86,18,20.27,4395.99,Female,No
87,26,103.24,2541.93,Male,No
88,44,82.71,1809.73,Female,Yes
89,34,77.06,4621.25,Male,No
90,10,86.2,3215.16,Male,No
91,36,85.36,5065.13,Male,Yes
92,14,76.55,696.9,Male,Yes
93,31,104.24,1078.11,Male,No
94,48,64.09,2618.37,Male,Yes
95,15,100.48,2307.37,Male,No
96,8,98.66,763.05,Female,No
97,14,39.95,1990.84,Female,Yes
98,23,65.38,3143.49,Male,Yes
99,57,103.49,4393.72,Female,Yes
100,40,103.09,1842.77,Female,No
101,21,22.4,4936.81,Female,No
102,16,42.31,5184.34,Female,No
103,45,62.39,1921.58,Female,No
